dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,6.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,7.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,8.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,9.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,10.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,11.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,12.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,13.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
checkerboard,quackKTA,test_accuracy,14.0,0.5,0.5,0.5,5
