method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
quackKTA,corners,6.0,70,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,219.6236683749994,15654100,0.1977996677160263,0.3035995066165924
quackKTA,corners,8.0,70,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,203.79450133299997,15654100,0.1977996677160263,0.3035995066165924
quackKTA,corners,10.0,70,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,203.2958652920006,15654100,0.1977996677160263,0.3035995066165924
centroidBasedKTA,corners,2.0,700,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,74.900842250001,1442700,0.1664721816778183,0.18085959553718567
centroidBasedKTA,corners,4.0,700,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,83.23260162500083,1448300,0.1503462940454483,0.14959599077701569
centroidBasedKTA,corners,6.0,700,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,77.75411454200002,1453900,0.1713453233242035,0.14791767299175262
centroidBasedKTA,corners,8.0,700,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,82.53033429100105,1459500,0.18077000975608826,0.13662771880626678
centroidBasedKTA,corners,10.0,700,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,83.2984511249997,1465100,0.1927756369113922,0.16063672304153442
greedyKTA,corners,2.0,70,0.95,0.98,0.83,0.92,0.9198717948717949,0.9198717948717949,0.9198717948717949,34.0732084579995,1499056,0.19606539607048035,0.17817196249961853
greedyKTA,corners,4.0,70,0.95,0.97,0.83,0.9,0.9,0.9014423076923077,0.9014423076923077,34.653673834000074,1499070,0.19606539607048035,0.18242907524108887
greedyKTA,corners,6.0,70,0.95,0.99,0.83,0.88,0.8795664391810518,0.8808373590982286,0.8790064102564102,34.88340291700115,1499092,0.19606539607048035,0.2187788039445877
greedyKTA,corners,8.0,70,0.95,0.97,0.83,0.87,0.8698828946051447,0.8757575757575757,0.8725961538461539,35.70679041600124,1499122,0.19606539607048035,0.21493496000766754
greedyKTA,corners,10.0,70,0.95,0.97,0.83,0.91,0.9097744360902256,0.9210526315789473,0.9134615384615384,35.792544915999315,1499160,0.19606539607048035,0.21146151423454285
fullKTA,corners,,80,0.95,1.0,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,41.817969542000355,1633150,0.19606539607048035,0.47721606492996216
randomKTA,corners,2.0,80,0.95,0.9,0.83,0.76,0.7564935064935066,0.7881944444444444,0.766025641025641,30.11046954199992,1623056,0.19606539607048035,0.18927840888500214
randomKTA,corners,4.0,80,0.95,0.99,0.83,0.91,0.90999099909991,0.9105642256902762,0.9110576923076923,30.120944332998988,1623070,0.19606539607048035,0.2484217882156372
randomKTA,corners,6.0,80,0.95,0.99,0.83,0.95,0.9499549594635172,0.949779911964786,0.9503205128205128,30.82225116600057,1623092,0.19606539607048035,0.37728410959243774
