method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
centroidBasedKTA,donuts,2.0,200,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,34.545654958000114,157660,0.14359112083911896,0.11782333254814148
centroidBasedKTA,donuts,4.0,200,0.8833333333333333,1.0,0.8833333333333333,0.85,0.849624060150376,0.8585972850678734,0.8526140155728588,33.79209883400017,159260,0.14394433796405792,0.1384616196155548
centroidBasedKTA,donuts,6.0,200,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8665183537263625,0.8665183537263625,32.8885957089999,160860,0.14378607273101807,0.12353654950857162
centroidBasedKTA,donuts,8.0,200,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,33.20420524999986,162460,0.08763590455055237,0.10167442262172699
centroidBasedKTA,donuts,10.0,200,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,33.26133262500002,164060,0.1271224021911621,0.13703180849552155
greedyKTA,donuts,2.0,20,0.8833333333333333,0.8,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8169642857142857,0.8159065628476085,22.1614985839999,164636,0.11800495535135269,0.06912575662136078
greedyKTA,donuts,4.0,20,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.7833333333333333,0.7818181818181819,0.7986111111111112,0.7869855394883203,20.46991058399999,164650,0.11800495535135269,0.13322892785072327
greedyKTA,donuts,6.0,20,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,20.248765708000064,164672,0.11800495535135269,0.10476638376712799
greedyKTA,donuts,8.0,20,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.9166666666666666,0.9166435120866907,0.9166666666666667,0.9171301446051168,23.128444791999982,164702,0.11800495535135269,0.16014015674591064
greedyKTA,donuts,10.0,20,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,21.423201917000142,164740,0.11800495535135269,0.17968836426734924
fullKTA,donuts,,30,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.8457142857142858,0.8364849833147943,21.380923458000098,226890,0.11800495535135269,0.34506478905677795
randomKTA,donuts,2.0,30,0.8833333333333333,0.9333333333333333,0.8833333333333333,0.85,0.849624060150376,0.8504464285714286,0.8492769744160178,16.25761254100007,223236,0.11800495535135269,0.13963040709495544
randomKTA,donuts,4.0,30,0.8833333333333333,1.0,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,16.64023116699991,223250,0.11800495535135269,0.16630789637565613
randomKTA,donuts,6.0,30,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,16.951871541999935,223272,0.11800495535135269,0.1803530603647232
randomKTA,donuts,8.0,30,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,17.526208374999896,223302,0.11800495535135269,0.18879233300685883
randomKTA,donuts,10.0,30,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,17.71458266600007,223340,0.11800495535135269,0.21873271465301514
